Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,100ms
Total data points,2732      
Trigger,0         
Start time,2021-03-24,16:06:09
End time,2021-03-24,16:10:42
Trigger time,2021-03-24,16:06:09
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],30,23,1,0
CH8," CH 8","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,0,17,0
CH9," CH 9","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],17,11,7,0
CH10," CH10","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],19,27,0,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
        16,2021/03/24 16:06:10,500,+  16.4,+  16.4,+  16.7,+  16.9,+  17.0,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        17,2021/03/24 16:06:10,600,+  16.4,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.7,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        18,2021/03/24 16:06:10,700,+  16.4,+  16.4,+  16.7,+  17.0,+  16.8,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        19,2021/03/24 16:06:10,800,+  16.4,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        20,2021/03/24 16:06:10,900,+  16.3,+  16.4,+  16.7,+  17.1,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        21,2021/03/24 16:06:11,  0,+  16.4,+  16.4,+  16.7,+  17.0,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        22,2021/03/24 16:06:11,100,+  16.4,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        23,2021/03/24 16:06:11,200,+  16.3,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        24,2021/03/24 16:06:11,300,+  16.4,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        25,2021/03/24 16:06:11,400,+  16.3,+  16.4,+  16.7,+  16.9,+  16.9,+  18.0,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        26,2021/03/24 16:06:11,500,+  16.3,+  16.4,+  16.7,+  17.0,+  16.8,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        27,2021/03/24 16:06:11,600,+  16.3,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        28,2021/03/24 16:06:11,700,+  16.4,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        29,2021/03/24 16:06:11,800,+  16.4,+  16.5,+  16.6,+  17.0,+  17.0,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        30,2021/03/24 16:06:11,900,+  16.2,+  16.4,+  16.7,+  17.1,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        31,2021/03/24 16:06:12,  0,+  16.4,+  16.4,+  16.7,+  16.9,+  16.8,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        32,2021/03/24 16:06:12,100,+  16.3,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        33,2021/03/24 16:06:12,200,+  16.4,+  16.4,+  16.7,+  16.9,+  16.8,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        34,2021/03/24 16:06:12,300,+  16.3,+  16.4,+  16.6,+  17.0,+  16.8,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        35,2021/03/24 16:06:12,400,+  16.3,+  16.4,+  16.7,+  17.0,+  16.7,+  17.9,+  16.7,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        36,2021/03/24 16:06:12,500,+  16.4,+  16.4,+  16.6,+  17.1,+  16.8,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        37,2021/03/24 16:06:12,600,+  16.3,+  16.4,+  16.7,+  16.9,+  16.8,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        38,2021/03/24 16:06:12,700,+  16.3,+  16.4,+  16.7,+  17.0,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        39,2021/03/24 16:06:12,800,+  16.4,+  16.4,+  16.7,+  17.1,+  16.7,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        40,2021/03/24 16:06:12,900,+  16.3,+  16.4,+  16.7,+  17.0,+  16.8,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        41,2021/03/24 16:06:13,  0,+  16.3,+  16.4,+  16.7,+  17.0,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        42,2021/03/24 16:06:13,100,+  16.3,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        43,2021/03/24 16:06:13,200,+  16.3,+  16.4,+  16.7,+  17.0,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        44,2021/03/24 16:06:13,300,+  16.3,+  16.4,+  16.7,+  17.1,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        45,2021/03/24 16:06:13,400,+  16.3,+  16.4,+  16.6,+  17.0,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        46,2021/03/24 16:06:13,500,+  16.3,+  16.4,+  16.6,+  17.1,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        47,2021/03/24 16:06:13,600,+  16.3,+  16.4,+  16.6,+  17.0,+  16.8,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        48,2021/03/24 16:06:13,700,+  16.4,+  16.4,+  16.6,+  17.0,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        49,2021/03/24 16:06:13,800,+  16.3,+  16.4,+  16.7,+  17.1,+  16.8,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        50,2021/03/24 16:06:13,900,+  16.3,+  16.4,+  16.6,+  17.0,+  16.7,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        51,2021/03/24 16:06:14,  0,+  16.3,+  16.4,+  16.7,+  17.0,+  16.8,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        52,2021/03/24 16:06:14,100,+  16.3,+  16.4,+  16.7,+  17.1,+  16.7,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        53,2021/03/24 16:06:14,200,+  16.3,+  16.4,+  16.6,+  17.0,+  16.8,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        54,2021/03/24 16:06:14,300,+  16.3,+  16.5,+  16.6,+  17.1,+  16.7,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        55,2021/03/24 16:06:14,400,+  16.3,+  16.5,+  16.6,+  17.1,+  16.7,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        56,2021/03/24 16:06:14,500,+  16.3,+  16.4,+  16.6,+  17.1,+  16.8,+  17.9,+  16.5,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        57,2021/03/24 16:06:14,600,+  16.3,+  16.4,+  16.6,+  17.1,+  16.7,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        58,2021/03/24 16:06:14,700,+  16.3,+  16.4,+  16.6,+  17.1,+  16.7,+  17.9,+  16.6,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        59,2021/03/24 16:06:14,800,+  16.3,+  16.4,+  16.6,+  17.0,+  16.7,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        60,2021/03/24 16:06:14,900,+  16.3,+  16.4,+  16.5,+  16.9,+  16.6,+  17.9,+  16.5,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        61,2021/03/24 16:06:15,  0,+  16.3,+  16.4,+  16.5,+  17.0,+  16.6,+  17.8,+  16.5,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        62,2021/03/24 16:06:15,100,+  16.2,+  16.4,+  16.5,+  17.1,+  16.6,+  17.8,+  16.5,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        63,2021/03/24 16:06:15,200,+  16.2,+  16.4,+  16.5,+  16.9,+  16.8,+  17.9,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        64,2021/03/24 16:06:15,300,+  16.1,+  16.4,+  16.5,+  17.1,+  16.6,+  17.9,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        65,2021/03/24 16:06:15,400,+  16.3,+  16.4,+  16.4,+  17.0,+  16.7,+  17.8,+  16.5,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        66,2021/03/24 16:06:15,500,+  16.2,+  16.4,+  16.4,+  17.0,+  16.6,+  17.8,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        67,2021/03/24 16:06:15,600,+  16.1,+  16.4,+  16.5,+  16.9,+  16.6,+  17.9,+  16.5,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        68,2021/03/24 16:06:15,700,+  16.1,+  16.4,+  16.5,+  17.1,+  16.6,+  17.8,+  16.6,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        69,2021/03/24 16:06:15,800,+  16.2,+  16.4,+  16.4,+  17.1,+  16.6,+  17.8,+  16.4,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        70,2021/03/24 16:06:15,900,+  16.2,+  16.4,+  16.4,+  17.0,+  16.6,+  17.8,+  16.5,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        71,2021/03/24 16:06:16,  0,+  16.2,+  16.4,+  16.5,+  17.0,+  16.6,+  17.8,+  16.5,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        72,2021/03/24 16:06:16,100,+  16.2,+  16.4,+  16.4,+  16.9,+  16.6,+  17.8,+  16.5,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        73,2021/03/24 16:06:16,200,+  16.2,+  16.4,+  16.4,+  16.9,+  16.7,+  17.9,+  16.5,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        74,2021/03/24 16:06:16,300,+  16.2,+  16.4,+  16.4,+  16.9,+  16.6,+  17.8,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        75,2021/03/24 16:06:16,400,+  16.2,+  16.5,+  16.4,+  16.9,+  16.6,+  17.9,+  16.5,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        76,2021/03/24 16:06:16,500,+  16.1,+  16.4,+  16.4,+  16.9,+  16.6,+  17.9,+  16.5,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        77,2021/03/24 16:06:16,600,+  16.1,+  16.4,+  16.4,+  16.9,+  16.6,+  17.9,+  16.5,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        78,2021/03/24 16:06:16,700,+  16.2,+  16.4,+  16.4,+  16.9,+  16.6,+  17.8,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        79,2021/03/24 16:06:16,800,+  16.3,+  16.4,+  16.4,+  17.0,+  16.6,+  17.8,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        80,2021/03/24 16:06:16,900,+  16.2,+  16.4,+  16.4,+  16.9,+  16.6,+  17.9,+  16.5,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        81,2021/03/24 16:06:17,  0,+  16.1,+  16.4,+  16.4,+  16.9,+  16.6,+  17.9,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        82,2021/03/24 16:06:17,100,+  16.2,+  16.4,+  16.4,+  16.9,+  16.6,+  17.8,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        83,2021/03/24 16:06:17,200,+  16.1,+  16.4,+  16.4,+  17.0,+  16.7,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        84,2021/03/24 16:06:17,300,+  16.2,+  16.3,+  16.3,+  17.1,+  16.6,+  17.9,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        85,2021/03/24 16:06:17,400,+  16.2,+  16.3,+  16.4,+  17.1,+  16.6,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        86,2021/03/24 16:06:17,500,+  16.1,+  16.3,+  16.4,+  17.0,+  16.6,+  17.8,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        87,2021/03/24 16:06:17,600,+  16.2,+  16.3,+  16.4,+  16.9,+  16.6,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        88,2021/03/24 16:06:17,700,+  16.2,+  16.3,+  16.4,+  17.0,+  16.6,+  17.9,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        89,2021/03/24 16:06:17,800,+  16.3,+  16.3,+  16.4,+  17.0,+  16.6,+  17.9,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        90,2021/03/24 16:06:17,900,+  16.3,+  16.3,+  16.3,+  17.1,+  16.6,+  17.9,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        91,2021/03/24 16:06:18,  0,+  16.3,+  16.4,+  16.4,+  16.9,+  16.6,+  17.8,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        92,2021/03/24 16:06:18,100,+  16.3,+  16.4,+  16.4,+  16.9,+  16.6,+  17.9,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        93,2021/03/24 16:06:18,200,+  16.3,+  16.3,+  16.3,+  16.9,+  16.6,+  17.8,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        94,2021/03/24 16:06:18,300,+  16.4,+  16.4,+  16.3,+  17.0,+  16.6,+  17.9,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        95,2021/03/24 16:06:18,400,+  16.4,+  16.3,+  16.3,+  17.0,+  16.6,+  17.9,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        96,2021/03/24 16:06:18,500,+  16.3,+  16.3,+  16.3,+  16.9,+  16.5,+  17.7,+  16.4,+  16.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        97,2021/03/24 16:06:18,600,+  16.3,+  16.3,+  16.3,+  16.9,+  16.6,+  17.7,+  16.4,+  16.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        98,2021/03/24 16:06:18,700,+  16.3,+  16.3,+  16.3,+  16.9,+  16.6,+  17.8,+  16.4,+  16.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        99,2021/03/24 16:06:18,800,+  16.1,+  16.3,+  16.3,+  16.9,+  16.6,+  17.9,+  16.4,+  16.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       100,2021/03/24 16:06:18,900,+  16.4,+  16.3,+  16.3,+  16.9,+  16.6,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       101,2021/03/24 16:06:19,  0,+  16.3,+  16.3,+  16.3,+  16.9,+  16.4,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       102,2021/03/24 16:06:19,100,+  16.3,+  16.3,+  16.3,+  16.9,+  16.4,+  17.8,+  16.4,+  16.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       103,2021/03/24 16:06:19,200,+  16.3,+  16.3,+  16.3,+  16.9,+  16.6,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       104,2021/03/24 16:06:19,300,+  16.3,+  16.3,+  16.3,+  17.1,+  16.5,+  17.7,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       105,2021/03/24 16:06:19,400,+  16.4,+  16.3,+  16.3,+  16.9,+  16.6,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       106,2021/03/24 16:06:19,500,+  16.3,+  16.3,+  16.3,+  16.9,+  16.4,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       107,2021/03/24 16:06:19,600,+  16.3,+  16.3,+  16.2,+  16.9,+  16.6,+  17.8,+  16.4,+  16.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       108,2021/03/24 16:06:19,700,+  16.3,+  16.3,+  16.3,+  16.9,+  16.4,+  17.7,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       109,2021/03/24 16:06:19,800,+  16.2,+  16.3,+  16.3,+  17.1,+  16.5,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       110,2021/03/24 16:06:19,900,+  16.4,+  16.3,+  16.2,+  16.9,+  16.6,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       111,2021/03/24 16:06:20,  0,+  16.2,+  16.3,+  16.2,+  16.9,+  16.6,+  17.7,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       112,2021/03/24 16:06:20,100,+  16.2,+  16.3,+  16.1,+  16.9,+  16.5,+  17.8,+  16.4,+  16.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       113,2021/03/24 16:06:20,200,+  16.3,+  16.3,+  16.1,+  16.9,+  16.6,+  17.8,+  16.4,+  16.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       114,2021/03/24 16:06:20,300,+  16.2,+  16.3,+  16.1,+  17.0,+  16.4,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       115,2021/03/24 16:06:20,400,+  16.3,+  16.3,+  16.2,+  16.9,+  16.6,+  17.7,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       116,2021/03/24 16:06:20,500,+  16.2,+  16.3,+  16.1,+  17.1,+  16.6,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       117,2021/03/24 16:06:20,600,+  16.2,+  16.3,+  16.2,+  16.9,+  16.5,+  17.8,+  16.4,+  16.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       118,2021/03/24 16:06:20,700,+  16.2,+  16.3,+  16.1,+  16.9,+  16.5,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       119,2021/03/24 16:06:20,800,+  16.1,+  16.3,+  16.1,+  17.1,+  16.6,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       120,2021/03/24 16:06:20,900,+  16.1,+  16.3,+  16.1,+  16.9,+  16.5,+  17.8,+  16.4,+  16.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       121,2021/03/24 16:06:21,  0,+  16.2,+  16.3,+  16.1,+  16.9,+  16.4,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       122,2021/03/24 16:06:21,100,+  16.2,+  16.2,+  16.1,+  16.9,+  16.5,+  17.9,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       123,2021/03/24 16:06:21,200,+  16.1,+  16.3,+  16.1,+  16.9,+  16.6,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       124,2021/03/24 16:06:21,300,+  16.2,+  16.3,+  16.1,+  16.9,+  16.4,+  17.8,+  16.4,+  16.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       125,2021/03/24 16:06:21,400,+  16.2,+  16.3,+  16.1,+  16.9,+  16.5,+  17.8,+  16.4,+  16.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       126,2021/03/24 16:06:21,500,+  16.2,+  16.3,+  16.1,+  16.9,+  16.5,+  17.8,+  16.4,+  16.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       127,2021/03/24 16:06:21,600,+  16.1,+  16.2,+  16.1,+  16.9,+  16.4,+  17.8,+  16.4,+  16.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
