Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,100ms
Total data points,2732      
Trigger,0         
Start time,2021-03-24,16:06:09
End time,2021-03-24,16:10:42
Trigger time,2021-03-24,16:06:09
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],30,23,1,0
CH8," CH 8","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,0,17,0
CH9," CH 9","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],17,11,7,0
CH10," CH10","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],19,27,0,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
NO.,Time,ms,"degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","A1234567890","AO1234"
         1,2021/03/24 16:06:09,  0,+  16.3,+  16.4,+  16.7,+  16.9,+  16.9,+  18.0,+  16.6,+  16.7,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         2,2021/03/24 16:06:09,100,+  16.3,+  16.4,+  16.7,+  17.1,+  16.9,+  17.9,+  16.7,+  16.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         3,2021/03/24 16:06:09,200,+  16.4,+  16.3,+  16.8,+  16.9,+  16.9,+  17.9,+  16.6,+  16.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         4,2021/03/24 16:06:09,300,+  16.3,+  16.3,+  16.7,+  17.1,+  16.9,+  17.9,+  16.7,+  16.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         5,2021/03/24 16:06:09,400,+  16.3,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         6,2021/03/24 16:06:09,500,+  16.4,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         7,2021/03/24 16:06:09,600,+  16.4,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         8,2021/03/24 16:06:09,700,+  16.4,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         9,2021/03/24 16:06:09,800,+  16.4,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        10,2021/03/24 16:06:09,900,+  16.4,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.7,+  16.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        11,2021/03/24 16:06:10,  0,+  16.4,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        12,2021/03/24 16:06:10,100,+  16.4,+  16.4,+  16.7,+  16.9,+  17.0,+  17.9,+  16.6,+  16.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        13,2021/03/24 16:06:10,200,+  16.4,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        14,2021/03/24 16:06:10,300,+  16.4,+  16.4,+  16.6,+  17.0,+  16.9,+  17.9,+  16.6,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        15,2021/03/24 16:06:10,400,+  16.3,+  16.4,+  16.7,+  16.9,+  16.9,+  17.9,+  16.7,+  16.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
