Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,20435     
Trigger,0         
Start time,2021-04-16,14:08:18
End time,2021-04-16,16:58:36
Trigger time,2021-04-16,14:08:18
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],30,23,1,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Alarm1-10,AlarmOut
        30,2021/04/16 14:08:32,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        31,2021/04/16 14:08:33,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        32,2021/04/16 14:08:33,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        33,2021/04/16 14:08:34,  0,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        34,2021/04/16 14:08:34,500,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        35,2021/04/16 14:08:35,  0,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        36,2021/04/16 14:08:35,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        37,2021/04/16 14:08:36,  0,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        38,2021/04/16 14:08:36,500,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        39,2021/04/16 14:08:37,  0,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        40,2021/04/16 14:08:37,500,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        41,2021/04/16 14:08:38,  0,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        42,2021/04/16 14:08:38,500,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        43,2021/04/16 14:08:39,  0,+  10.5,+   0.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        44,2021/04/16 14:08:39,500,+  10.5,+   0.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        45,2021/04/16 14:08:40,  0,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        46,2021/04/16 14:08:40,500,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        47,2021/04/16 14:08:41,  0,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        48,2021/04/16 14:08:41,500,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        49,2021/04/16 14:08:42,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        50,2021/04/16 14:08:42,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        51,2021/04/16 14:08:43,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        52,2021/04/16 14:08:43,500,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        53,2021/04/16 14:08:44,  0,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        54,2021/04/16 14:08:44,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        55,2021/04/16 14:08:45,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        56,2021/04/16 14:08:45,500,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        57,2021/04/16 14:08:46,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        58,2021/04/16 14:08:46,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        59,2021/04/16 14:08:47,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        60,2021/04/16 14:08:47,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        61,2021/04/16 14:08:48,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        62,2021/04/16 14:08:48,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        63,2021/04/16 14:08:49,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        64,2021/04/16 14:08:49,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        65,2021/04/16 14:08:50,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        66,2021/04/16 14:08:50,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        67,2021/04/16 14:08:51,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        68,2021/04/16 14:08:51,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        69,2021/04/16 14:08:52,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        70,2021/04/16 14:08:52,500,+  10.5,+   0.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        71,2021/04/16 14:08:53,  0,+  10.5,+   0.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        72,2021/04/16 14:08:53,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        73,2021/04/16 14:08:54,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        74,2021/04/16 14:08:54,500,+  10.5,+   0.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        75,2021/04/16 14:08:55,  0,+  10.5,+   0.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        76,2021/04/16 14:08:55,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        77,2021/04/16 14:08:56,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        78,2021/04/16 14:08:56,500,+  10.6,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        79,2021/04/16 14:08:57,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        80,2021/04/16 14:08:57,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        81,2021/04/16 14:08:58,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        82,2021/04/16 14:08:58,500,+  10.5,+   0.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        83,2021/04/16 14:08:59,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        84,2021/04/16 14:08:59,500,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        85,2021/04/16 14:09:00,  0,+  10.5,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        86,2021/04/16 14:09:00,500,+  10.4,+   0.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        87,2021/04/16 14:09:01,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        88,2021/04/16 14:09:01,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        89,2021/04/16 14:09:02,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        90,2021/04/16 14:09:02,500,+  10.4,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        91,2021/04/16 14:09:03,  0,+  10.4,+   0.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        92,2021/04/16 14:09:03,500,+  10.4,+   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        93,2021/04/16 14:09:04,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        94,2021/04/16 14:09:04,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        95,2021/04/16 14:09:05,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        96,2021/04/16 14:09:05,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        97,2021/04/16 14:09:06,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        98,2021/04/16 14:09:06,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        99,2021/04/16 14:09:07,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       100,2021/04/16 14:09:07,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       101,2021/04/16 14:09:08,  0,+  10.4,+   0.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       102,2021/04/16 14:09:08,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       103,2021/04/16 14:09:09,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       104,2021/04/16 14:09:09,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       105,2021/04/16 14:09:10,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       106,2021/04/16 14:09:10,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       107,2021/04/16 14:09:11,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       108,2021/04/16 14:09:11,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       109,2021/04/16 14:09:12,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       110,2021/04/16 14:09:12,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       111,2021/04/16 14:09:13,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       112,2021/04/16 14:09:13,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       113,2021/04/16 14:09:14,  0,+  10.3,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       114,2021/04/16 14:09:14,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       115,2021/04/16 14:09:15,  0,+  10.3,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       116,2021/04/16 14:09:15,500,+  10.3,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       117,2021/04/16 14:09:16,  0,+  10.3,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       118,2021/04/16 14:09:16,500,+  10.3,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       119,2021/04/16 14:09:17,  0,+  10.3,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       120,2021/04/16 14:09:17,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       121,2021/04/16 14:09:18,  0,+  10.3,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       122,2021/04/16 14:09:18,500,+  10.3,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       123,2021/04/16 14:09:19,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       124,2021/04/16 14:09:19,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       125,2021/04/16 14:09:20,  0,+  10.3,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       126,2021/04/16 14:09:20,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       127,2021/04/16 14:09:21,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       128,2021/04/16 14:09:21,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       129,2021/04/16 14:09:22,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       130,2021/04/16 14:09:22,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       131,2021/04/16 14:09:23,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       132,2021/04/16 14:09:23,500,+  10.3,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       133,2021/04/16 14:09:24,  0,+  10.3,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       134,2021/04/16 14:09:24,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       135,2021/04/16 14:09:25,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       136,2021/04/16 14:09:25,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       137,2021/04/16 14:09:26,  0,+  10.4,+   0.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       138,2021/04/16 14:09:26,500,+  10.4,+   0.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       139,2021/04/16 14:09:27,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       140,2021/04/16 14:09:27,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       141,2021/04/16 14:09:28,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       142,2021/04/16 14:09:28,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       143,2021/04/16 14:09:29,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       144,2021/04/16 14:09:29,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       145,2021/04/16 14:09:30,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       146,2021/04/16 14:09:30,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       147,2021/04/16 14:09:31,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       148,2021/04/16 14:09:31,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       149,2021/04/16 14:09:32,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       150,2021/04/16 14:09:32,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       151,2021/04/16 14:09:33,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       152,2021/04/16 14:09:33,500,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       153,2021/04/16 14:09:34,  0,+  10.4,-   0.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
       154,2021/04/16 14:09:34,500,+  10.4,+   0.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
