Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,2909      
Trigger,0         
Start time,2021-03-24,16:15:42
End time,2021-03-24,16:39:56
Trigger time,2021-03-24,16:15:42
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],30,23,1,0
CH8," CH 8","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,0,17,0
CH9," CH 9","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],17,11,7,0
CH10," CH10","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],19,27,0,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
        24,2021/03/24 16:15:53,500,+  16.3,+  16.0,+  16.5,+  17.1,+  24.5,+  49.6,+  41.8,+  52.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        25,2021/03/24 16:15:54,  0,+  16.3,+  16.1,+  16.4,+  17.2,+  24.5,+  49.9,+  42.1,+  53.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        26,2021/03/24 16:15:54,500,+  16.4,+  16.1,+  16.4,+  17.1,+  24.7,+  50.0,+  42.4,+  53.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        27,2021/03/24 16:15:55,  0,+  16.4,+  16.0,+  16.4,+  17.1,+  24.7,+  50.2,+  42.6,+  53.7,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        28,2021/03/24 16:15:55,500,+  16.4,+  16.0,+  16.4,+  17.1,+  24.8,+  50.3,+  42.8,+  54.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        29,2021/03/24 16:15:56,  0,+  16.4,+  16.1,+  16.4,+  17.2,+  24.8,+  50.5,+  43.0,+  54.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        30,2021/03/24 16:15:56,500,+  16.4,+  16.1,+  16.4,+  17.1,+  25.0,+  50.6,+  43.4,+  54.9,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        31,2021/03/24 16:15:57,  0,+  16.4,+  16.1,+  16.6,+  17.2,+  25.1,+  50.7,+  43.2,+  55.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        32,2021/03/24 16:15:57,500,+  16.5,+  16.1,+  16.6,+  17.2,+  25.1,+  50.8,+  43.5,+  55.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        33,2021/03/24 16:15:58,  0,+  16.6,+  16.1,+  16.5,+  17.2,+  25.1,+  51.0,+  43.9,+  55.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        34,2021/03/24 16:15:58,500,+  16.6,+  16.1,+  16.6,+  17.2,+  25.2,+  51.1,+  43.9,+  56.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        35,2021/03/24 16:15:59,  0,+  16.6,+  16.2,+  16.4,+  17.2,+  25.2,+  51.3,+  44.1,+  56.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        36,2021/03/24 16:15:59,500,+  16.5,+  16.1,+  16.5,+  17.2,+  25.2,+  51.4,+  44.4,+  56.7,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        37,2021/03/24 16:16:00,  0,+  16.6,+  16.1,+  16.4,+  17.2,+  25.3,+  51.6,+  44.6,+  57.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
