Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,15507     
Trigger,0         
Start time,2021-04-01,14:48:54
End time,2021-04-01,16:58:07
Trigger time,2021-04-01,14:48:54
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],30,23,1,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Alarm1-10,AlarmOut
NO.,Time,ms,"degC","degC","degC","degC","degC","degC","degC","A1234567890","AO1234"
         1,2021/04/01 14:48:54,  0,+  20.5,+  20.3,-   7.0,+  15.7,+  20.0,+  18.0,+  18.9,LLLLLLLLLL,LLLL
         2,2021/04/01 14:48:54,500,+  20.5,+  20.2,-   7.0,+  15.8,+  20.0,+  18.1,+  18.9,LLLLLLLLLL,LLLL
         3,2021/04/01 14:48:55,  0,+  20.5,+  20.3,-   7.0,+  15.7,+  20.0,+  18.2,+  18.9,LLLLLLLLLL,LLLL
         4,2021/04/01 14:48:55,500,+  20.5,+  20.3,-   7.0,+  15.7,+  20.0,+  18.1,+  18.9,LLLLLLLLLL,LLLL
         5,2021/04/01 14:48:56,  0,+  20.5,+  20.3,-   7.0,+  15.6,+  20.0,+  18.2,+  18.9,LLLLLLLLLL,LLLL
         6,2021/04/01 14:48:56,500,+  20.5,+  20.2,-   7.0,+  15.6,+  20.0,+  18.1,+  18.9,LLLLLLLLLL,LLLL
         7,2021/04/01 14:48:57,  0,+  20.5,+  20.3,-   7.0,+  15.6,+  20.0,+  18.1,+  18.9,LLLLLLLLLL,LLLL
         8,2021/04/01 14:48:57,500,+  20.5,+  20.3,-   7.0,+  15.7,+  20.0,+  18.1,+  18.9,LLLLLLLLLL,LLLL
         9,2021/04/01 14:48:58,  0,+  20.5,+  20.3,-   7.0,+  15.7,+  20.0,+  18.1,+  18.9,LLLLLLLLLL,LLLL
        10,2021/04/01 14:48:58,500,+  20.5,+  20.3,-   7.0,+  15.7,+  20.0,+  18.1,+  18.8,LLLLLLLLLL,LLLL
        11,2021/04/01 14:48:59,  0,+  20.5,+  20.3,-   7.0,+  15.7,+  20.0,+  18.2,+  18.9,LLLLLLLLLL,LLLL
        12,2021/04/01 14:48:59,500,+  20.5,+  20.3,-   7.0,+  15.7,+  20.0,+  18.1,+  18.8,LLLLLLLLLL,LLLL
        13,2021/04/01 14:49:00,  0,+  20.5,+  20.3,-   7.1,+  15.6,+  20.0,+  18.2,+  18.9,LLLLLLLLLL,LLLL
        14,2021/04/01 14:49:00,500,+  20.5,+  20.3,-   7.1,+  15.7,+  20.0,+  18.2,+  18.9,LLLLLLLLLL,LLLL
        15,2021/04/01 14:49:01,  0,+  20.5,+  20.3,-   7.2,+  15.7,+  20.0,+  18.1,+  18.9,LLLLLLLLLL,LLLL
